Genome	Sample1_.sorted Relative Abundance (%)	Sample2_.sorted Relative Abundance (%)	Sample3_.sorted Relative Abundance (%)	Sample4_.sorted Relative Abundance (%)	Sample5_.sorted Relative Abundance (%)	Sample6_.sorted Relative Abundance (%)
unmapped	14.9182205	70.71305	45.923485	100	95.44164	100
MAG10	0	0	13.861275	NaN	0	NaN
MAG8	0	2.7335236	14.6881075	NaN	0	NaN
MAG12	0	0.9942716	9.450629	NaN	0	NaN
MAG3	8.424258	0	0	NaN	0	NaN
MAG11	0	0	6.476693	NaN	0	NaN
MAG7	0	0	0	NaN	4.5583587	NaN
MAG2	76.657524	18.854208	9.599811	NaN	0	NaN
MAG6	0	6.7049494	0	NaN	0	NaN
